name,freereturns,itemssold,status,price,shipping
New ListingGarfield Plush Stuffed Animal Rainbow Tie Dye Toy Cat 12” The Toy Factory Odie,True,,Pre-Owned,1400,0
Mini 8 Inch Pug Pugslee Plush Stuffed Animal Puppy Dog,False,,Brand New,899,0
New ListingHello Kitty 2013 11” Stuffed Animal Plush Toy Pink Sailor Dress Fiesta NWT,False,,Brand New,1595,
New ListingGrumpy Cat Toy Factory Small Stuffed Plush Animal ,False,,Pre-Owned,595,695
"Minecraft squid  Animal 7"" Plush Toy Doll",False,14,Brand New,1099,0
 Tiger Realistic 24 in. Long (Paw to End of Tail) Stuffed Animal Plush Cat,False,,Brand New,1999,
"Squirtle Plush Soft Toy Doll Teddy Stuffed Animal 9""",False,,Brand New,1250,0
Squishmallows 12” Catarina the black cat Halloween 2021 Rare Stuffed Animal BNWT,False,0,Brand New,2499,1450
"New ListingLinzy Dino-Mite Pal 9"" Long Plush Stuffed Animal Dinosaur - Triceratops",False,,Brand New,1199,0
"New ListingLinzy Dino-Mite Pal 8"" Tall Plush Stuffed Animal Dinosaur - Brachiosaurus",False,,Brand New,1199,0
"New ListingLinzy Dino-Mite Pal 10"" Long Plush Stuffed Animal Dinosaur - Stegosaurus",False,,Brand New,1199,0
"ADORE 15"" Renegade the Black Goat Plush Stuffed Animal Toy",False,309,Brand New,1999,0
*NWT FREE SHIPPING* Squishmallow Cressida 14” GLOW IN DARK TARGET Pink  Axolotl,False,0,Brand New,3200,0
"Trudi Bussi Plush Teddy Bear Brown 11"" Soft Stuffed Animal Toy",False,,Brand New,1500,200
New ListingDouglas Sapphire UNICORN Plush Toy Stuffed Animal NEW,False,,Brand New,800,800
"Squishmallows 8"" Stanly the Panda Ultrasoft Stuffed Animal Plush Toy",True,0,Brand New,2399,0
Squishmallow Cressida 14” GLOW IN THE DARK TARGET Stars Moons Sleepy Axolotl,False,194,Brand New,3299,0
Gitzy Sammy Sloth Stuffed Animal 18” Large Plush Toy For Boys Girls Kids Adults,True,,Brand New,1600,0
"New ListingThe Dog Artist Collection Dachshund Plush 14"" and 7"" Stuffed Animals",True,,Brand New,1995,885
Dinosaur Plush Stuffed Animal Pink,True,,Brand New,1440,0
Aurora Mini Emperor Penguin # 31194 Stuffed Animal Toy,False,85,Brand New,899,0
New ListingSoft and Cuddly 12 Inch Yellow/ Orange Bear Stuffed Animal Plushie,False,,Brand New,1400,0
"MY PILLOW PET~18"" Patriot Dog~ Stuffed Animal~Authentic~Boys & Girls Brand New ",False,36,Brand New,1299,800
Rodolf The Rottweiler | 15 Inch Stuffed Animal Plush | Previously Returned,False,0,Pre-Owned,999,0
New ListingSloth Plush Stuffed Animal,False,0,Brand New,1500,0
New ListingFiesta Monkey Plush Stuffed Animal Red w/ Blue Hat Hook And Loop  36'' A391,False,,Pre-Owned,700,695
Auswella Plush  Woodland Fox Ash- Plush Stuffed Animals-16 Inch,False,,Brand New,1897,0
Douglas Cuddle Toys Percy Porcupine #4111 Stuffed Animal Toy,False,0,Brand New,1495,0
,False,,,,
Auswella Wholesale Plush ® Baby Plush Duckling- 4 Inch Stuffed Animal,False,,Brand New,799,0
"Aurora 20"" Cat in the Hat Plush Stuffed Animal Brand New",False,0,Brand New,1578,0
New ListingAnimal Planet Kohl’s Cares for Kids Giraffe Stuffed Zoo Plush Toy Animal 12” EUC,True,,Pre-Owned,1400,0
"Minecraft Ocelot Animal 7"" Plush Toy Doll",False,19,Brand New,1099,0
"Ontel Star Belly Dream Lites, Stuffed Animal Night Light, Blue Puppy",False,0,Brand New,2499,0
"New Listing8"" Baby Girl Purple Pink Penguin Stuffed Plush Animal by Fiesta w/ Sewn Eyes",True,,Pre-Owned,1200,0
New ListingTeddy Bear Small Plush Napco Imports 8 Inch Sitting Stuffed Animal Brown Tan ,False,,Pre-Owned,1199,399
Douglas Henrietta BLUE LACE HEN Plush Toy Stuffed Animal NEW,True,0,Brand New,2045,0
"Squishmallow 8"" Inch Nightmare Before Christmas Zero NWT 2021",False,23,Brand New,2499,599
"20"" DR. SEUSS HOW THE GRINCH STOLE CHRISTMAS POSEABLE PLUSH STUFFED  ANIMAL TOY",False,,Brand New,1888,488
New ListingKellytoy Squishmallow 5” Blake the Gray Bunny Rabbit Plush Stuffed Animal,False,,Pre-Owned,1499,530
Animal Adventure Red Bear Plush Super Soft Squishy Stuffed Animal Toy new,False,,Brand New,995,176
