name,freereturns,itemssold,status,price,shipping
Stanley Anti Vibe hammer 20 oz.,False,,Brand New,4000,0
New Listing3 lb. Fiberglass Drilling Hammer,False,,Brand New,2179,0
"1911 hammer STAINLESS STEEL- fully machined commander style ,1911 hammer, ",True,1535,Brand New,2880,0
Vaughan Soft Face Hammer SF6 Double Head 6oz with Hickory Handle Made in USA ,True,0,Brand New,2435,
"HICKORY 10-1/2"" MINI SLEDGE HAMMER HANDLE Fire Finish & Lacquered, Amish Made",False,0,Brand New,1099,399
Set of 2 16 oz. Fiberglass Rip Hammer and Claw Hammer,True,,Brand New,2185,0
"Vaughan 63035 Drilling Hammer Handle,10 1/2 In Hickory",True,50,Brand New,657,500
New ListingOld Lutz Brass Hammer metal and wood handle Cincinnati OH Vintage c 1920,False,,Pre-Owned,2100,525
Milwaukee 48-22-9040 4IN1 Lineman's Hammer,True,0,Brand New,5999,0
Vintage Vaughan Large Framing Hammer Head CF1 Made in USA 24oz.,False,,Pre-Owned,1295,1060
New ListingSledge Hammer Handle 36 inch Hickory Forest King Heavy Duty 16-24 Lb tools,False,,Open Box,1000,1244
Plumb 11419 16 oz Regular Fiberglass Rip Claw Hammer,False,,Brand New,700,900
"IRWIN Tools 1954889 Fiberglass General Purpose Claw Hammer, 16 oz 16 ",True,0,Brand New,1489,0
DeWALT DWHT51366 22-Ounce Multi-Functional Rip Claw Long Handle Demo Hammer,True,158,Brand New,2999,895
"Non-Sparking Safety Hammer 2-lb Brass Drilling Hammer Head, 12-1/2"" Wood Handle",False,0,Brand New,2999,0
MONOCEROS 16oz Claw Hammer Non-slip Shock Reduction Grip Multifunctional Hammer ,False,,Brand New,3288,0
"13 1/2"" Hickory Replacement Craftsman Hammer Handle W/Metal Wedge~@101~NOS",False,,Brand New,995,
5 Small Hammer Handles. 9-1/2”. Wood Tack Hammer Handles,False,,Pre-Owned,800,625
Milwaukee 48-22-9016 17 oz. Milled Face Framing Hammer,True,0,Brand New,3999,0
HART HICKORY WOOD HANDLE 16OZ HAMMER,True,0,Brand New,999,1465
